
########## Evaluation Against Random - Episode 0 ##########
Timestep: 0 Average reward against random is -0.06
Timestep: 0 Average reward when taking  is -0.42

########## Evaluation Against Random - Episode 100 ##########
Timestep: 20821 Average reward against random is 0.22
Timestep: 20821 Average reward when taking  is 0.85

########## Evaluation Against Random - Episode 200 ##########
Timestep: 41477 Average reward against random is -0.25
Timestep: 41477 Average reward when taking  is -0.73

########## Evaluation Against Random - Episode 300 ##########
Timestep: 64578 Average reward against random is 0.01
Timestep: 64578 Average reward when taking  is 0.55

########## Evaluation Against Random - Episode 400 ##########
Timestep: 87873 Average reward against random is -0.30
Timestep: 87873 Average reward when taking  is -0.88

########## Evaluation Against Random - Episode 500 ##########
Timestep: 110870 Average reward against random is -0.09
Timestep: 110870 Average reward when taking  is -0.01

########## Evaluation Against Random - Episode 600 ##########
Timestep: 132132 Average reward against random is -0.39
Timestep: 132132 Average reward when taking  is -0.79

########## Evaluation Against Random - Episode 700 ##########
Timestep: 153172 Average reward against random is -0.59
Timestep: 153172 Average reward when taking  is -1.43

########## Evaluation Against Random - Episode 800 ##########
Timestep: 173045 Average reward against random is -0.24
Timestep: 173045 Average reward when taking  is -0.29

########## Evaluation Against Random - Episode 900 ##########
Timestep: 194875 Average reward against random is -0.13
Timestep: 194875 Average reward when taking  is -0.09

########## Evaluation Against Random - Episode 1000 ##########
Timestep: 216399 Average reward against random is 0.00
Timestep: 216399 Average reward when taking  is 0.29

########## Evaluation Against Random - Episode 1100 ##########
Timestep: 237269 Average reward against random is -0.29
Timestep: 237269 Average reward when taking  is -0.92

########## Evaluation Against Random - Episode 1200 ##########
Timestep: 257099 Average reward against random is -0.36
Timestep: 257099 Average reward when taking  is -0.76

########## Evaluation Against Random - Episode 1300 ##########
Timestep: 279187 Average reward against random is -0.02
Timestep: 279187 Average reward when taking  is 0.15

########## Evaluation Against Random - Episode 1400 ##########
Timestep: 302819 Average reward against random is -0.07
Timestep: 302819 Average reward when taking  is -0.09

########## Evaluation Against Random - Episode 1500 ##########
Timestep: 322370 Average reward against random is 0.02
Timestep: 322370 Average reward when taking  is 0.73

########## Evaluation Against Random - Episode 1600 ##########
Timestep: 344479 Average reward against random is -0.12
Timestep: 344479 Average reward when taking  is -0.16

########## Evaluation Against Random - Episode 1700 ##########
Timestep: 365924 Average reward against random is -0.08
Timestep: 365924 Average reward when taking  is 0.13

########## Evaluation Against Random - Episode 1800 ##########
